tweet_id,text,created_at,user_id,like_count,retweet_count,engagement_rate,lang,export_timestamp,dataset_version
2001536900457476561,"Pemerintah mengatakan kami sanggup mengatasi bencana sumatera, jadi belum diperlukan bantuan dunia. Tapi Fakta dilapangan yg disampaikan reporter CNN sangat berbeda. Apa gak bangsat itu namanya! Laporan lapangan CNN Indonesia Irene Wardhanie, kondisi Aceh Tamiang (Rabu, 17/12). https://t.co/as2Kjtw8iz",2025-12-18 06:15:58,1329714991512002560,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536842433466651,"orgil. mereka disana butuh nutrisi lebih krna psikososialnya jg pasti gabaik baik aja, pemerintah tolol 10rebu sehari dapet apa anjiiikk.",2025-12-18 06:15:44,1097713411490598913,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536767321907580,ASML butuh 18 tahun dari prototype mesin litografi EUV tahun 2001 sampe bisa produksi komersial tahun 2019. Ahli memperkirakan China bisa 5 tahun. Target pemerintah China 3 tahun. 2028. https://t.co/4LaMg6JO4k,2025-12-18 06:15:26,185320244,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536757989507537,"#Repost @kem_atrbpn Halo #SobATRBPN, Bencana alam yang melanda Sumatra meninggalkan duka bagi banyak keluarga. Di tengah situasi sulit ini, pemerintah bergerak cepat mengirimkan bantuan logistik, #ATRBPNKiniLebihBaik #ATRBPNMajudanModern #MelayaniProfesionalTerpercaya",2025-12-18 06:15:24,970547615766011904,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536751060554076,"@iynn2710753 @blaugrana1O Benar, pemerintah (pejabat) tidak sadar karena masyarakat (rakyat) nya sendiri tidak sadar. Toh sistem kita demokrasi, jadi semua akar (baik dan buruk) nya ada di masyarakat (rakyat).",2025-12-18 06:15:22,1985310504450215936,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536726725202071,Kanwil Kemenkum Sulteng berperan sebagai mitra strategis pemerintah daerah. #KementerianHukum #KanwilKemenkumSulteng #LayananHukumMakinMudah #SetahunBerdampak,2025-12-18 06:15:17,2240340451,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536717770346835,"nangiss banget liat berita kondisi di Aceh, keadaan disana parah banget, pemerintah kenapa sih gnlk banget, gua nangis banget liat anak2 lari2an nungguin dijalan buat dapet makan, akuu gakuatt liatnya kasian mereka kelaparan :(((",2025-12-18 06:15:14,1882630200778997760,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536687214903465,Ichiban Kuji indo harganya 2x lipat dari harga asli. Kata gw fck pemerintah 😇,2025-12-18 06:15:07,1991892990802206720,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001536676519350661,"yaaAllahh, sampe gatau lagi mau deskripsiin dzalimnya pemerintah kek apa.",2025-12-18 06:15:05,1836787050357587969,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529684681687491,"pemerintah terinspirasi dari konten ""10ribu ditangan istri yang tepat""",2025-12-18 05:47:18,118934328,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529683310186801,@ARSIPAJA 10rb per individu ato per KK? 2-2 ngawur. Gila sih pemerintah. Dzolim + serakahnya kebangetan,2025-12-18 05:47:17,1120824007106781184,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529679782776988,@MuhammadTuhasan Pemerintah memilki komitmen yang kuat dalam menjadikan penanganan bencana di Sumatera sebagai prioritas nasional.,2025-12-18 05:47:16,1978441142946373633,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529656781291756,@ARSIPAJA Ah tolol lu pemerintah,2025-12-18 05:47:11,857411092913414144,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529607519183087,PEMERINTAH INDONESIA KALAU KALIAN PUNYA NIAT TULUS TOLONG BERIKAN BANTUAN DAN BNPB BERIKAN STATUS BENCANA NASIONAL DI SUMATERA UTARA BARAT DAN ACEH JANGAN DIAM DOANG. PEJABAT YANG NGOMONG-NGOMONG NYINDIR INFLUENCER DAN YANG LAINNYA TUH NGGAK PERNAH MEMBERIKAN AKSI YANG NYATA,2025-12-18 05:46:59,449377649,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529598425907445,@narkosun Jika 10.000 sebagai bentuk kehadiran pemerintah minim sekali. Setelah kehilangan anggota keluarga rumah harta benda dan mata pencaharian.,2025-12-18 05:46:57,1858033765454667776,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
